189.9,36.9,10.2,42354.0,Bulk Carrier
177.2,30.5,11.8,29593.0,Bulk Carrier
193.0,38.0,11.1,40028.0,Bulk Carrier
210.5,35.2,12.5,48928.0,Bulk Carrier
175.3,30.4,9.9,27326.0,Bulk Carrier
175.3,33.7,10.5,36287.0,Bulk Carrier
211.6,42.3,10.4,43916.0,Bulk Carrier
195.3,33.6,8.8,43279.0,Bulk Carrier
170.6,29.9,11.4,28237.0,Bulk Carrier
190.9,33.3,11.4,31868.0,Bulk Carrier
170.7,29.6,11.0,37056.0,Bulk Carrier
170.7,33.6,10.6,35922.0,Bulk Carrier
184.8,34.5,8.9,38520.0,Bulk Carrier
141.7,27.7,10.4,30379.0,Bulk Carrier
145.5,24.8,10.5,26000.0,Bulk Carrier
168.8,30.0,9.8,35212.0,Bulk Carrier
159.7,30.0,10.8,33714.0,Bulk Carrier
186.3,36.8,11.6,33985.0,Bulk Carrier
161.8,30.5,13.8,41997.0,Bulk Carrier
151.8,28.5,11.3,33020.0,Bulk Carrier
209.3,36.5,11.4,36206.0,Bulk Carrier
175.5,31.1,10.9,38680.0,Bulk Carrier
181.4,30.8,8.1,31697.0,Bulk Carrier
151.5,27.7,11.0,34536.0,Bulk Carrier
169.1,33.0,11.1,39915.0,Bulk Carrier
182.2,31.9,14.0,32640.0,Bulk Carrier
157.0,27.2,10.7,36513.0,Bulk Carrier
187.5,33.7,11.5,39867.0,Bulk Carrier
168.0,29.1,10.9,38008.0,Bulk Carrier
174.2,31.7,9.2,44617.0,Bulk Carrier
168.0,30.4,12.7,32666.0,Bulk Carrier
217.0,40.0,12.1,39940.0,Bulk Carrier
179.7,35.8,12.2,31798.0,Bulk Carrier
158.8,31.1,9.6,27990.0,Bulk Carrier
196.5,39.0,13.1,39205.0,Bulk Carrier
155.6,27.6,8.9,33122.0,Bulk Carrier
184.2,34.7,11.9,38519.0,Bulk Carrier
140.8,25.6,14.0,32597.0,Bulk Carrier
153.4,26.0,9.5,31052.0,Bulk Carrier
183.9,35.0,10.2,44355.0,Bulk Carrier
194.8,36.0,11.1,37931.0,Bulk Carrier
183.4,31.9,10.2,50586.0,Bulk Carrier
177.7,34.0,8.7,38966.0,Bulk Carrier
174.0,34.3,11.1,30810.0,Bulk Carrier
150.4,28.4,9.4,25031.0,Bulk Carrier
165.6,32.1,11.7,35833.0,Bulk Carrier
170.8,28.8,9.6,33340.0,Bulk Carrier
201.1,34.6,13.3,44098.0,Bulk Carrier
186.9,33.2,9.8,40041.0,Bulk Carrier
144.7,24.7,10.5,28884.0,Bulk Carrier
194.6,26.7,13.2,35329.0,Container Ship
174.6,25.8,14.3,30000.0,Container Ship
206.6,29.8,16.0,38195.0,Container Ship
245.7,37.3,10.5,39207.0,Container Ship
226.4,34.7,16.0,48957.0,Container Ship
182.6,24.5,9.1,32097.0,Container Ship
225.2,30.7,12.7,34331.0,Container Ship
231.6,32.2,14.2,39510.0,Container Ship
193.5,28.0,13.6,38531.0,Container Ship
224.6,33.7,11.8,36320.0,Container Ship
221.7,33.3,12.6,33737.0,Container Ship
185.7,27.5,12.0,35777.0,Container Ship
230.7,32.7,11.8,43892.0,Container Ship
236.8,32.8,14.7,38973.0,Container Ship
252.5,35.3,13.7,42080.0,Container Ship
251.6,37.1,11.6,47547.0,Container Ship
178.7,24.0,14.8,30000.0,Container Ship
191.9,26.5,13.6,30000.0,Container Ship
235.5,33.4,14.6,37034.0,Container Ship
235.4,33.1,14.3,41067.0,Container Ship
235.5,34.0,11.3,45269.0,Container Ship
280.0,41.5,11.9,62603.0,Container Ship
237.1,34.6,14.5,49944.0,Container Ship
254.1,35.0,14.2,44853.0,Container Ship
248.6,38.2,13.0,44999.0,Container Ship
239.5,36.2,13.2,35497.0,Container Ship
210.5,32.2,15.6,38149.0,Container Ship
242.8,37.1,11.8,41789.0,Container Ship
196.8,26.8,14.1,38408.0,Container Ship
212.9,29.6,12.6,32103.0,Container Ship
205.4,29.5,12.6,41534.0,Container Ship
222.5,33.7,15.2,52704.0,Container Ship
280.0,40.0,14.7,49930.0,Container Ship
164.0,23.5,14.6,33130.0,Container Ship
240.6,36.1,15.6,49227.0,Container Ship
171.6,24.8,13.0,30000.0,Container Ship
205.8,29.8,14.4,39244.0,Container Ship
252.7,35.5,12.4,45981.0,Container Ship
221.9,31.1,13.6,41129.0,Container Ship
187.7,28.7,12.7,30000.0,Container Ship
198.5,28.9,13.2,36333.0,Container Ship
240.4,33.7,14.2,47654.0,Container Ship
198.1,28.3,11.4,47665.0,Container Ship
226.5,30.8,16.0,48843.0,Container Ship
221.4,30.9,11.0,57472.0,Container Ship
200.5,30.1,10.6,30343.0,Container Ship
