10.62,33.42,10.43,8.8,4695,3.76,19.43,3.74,0
19.26,38.21,25.43,7.19,3055,2.09,27.27,1.77,1
15.98,31.11,10.44,6.26,2805,1.76,19.92,1.33,1
13.98,38.46,20.75,7.85,1588,1.74,25.25,0.68,0
7.34,31.27,26.27,6.34,3142,2.37,15.74,0.6,0
7.34,33.97,8.21,7.04,1677,2.72,23.75,3.99,0
5.87,37.97,22.02,7.52,3494,4.32,27.83,1.1,0
17.99,31.5,12.7,8.62,1059,1.48,19.3,2.6,0
14.02,32.29,33.89,7.48,3464,3.94,9.52,3.23,1
15.62,37.22,19.51,8.11,1771,3.13,11.72,2.43,0
5.31,37.2,29.18,8.98,2313,2.15,9.97,0.62,0
19.55,36.41,21.51,6.39,3415,2.97,11.17,4.03,0
17.49,36.94,6.3,6.82,1109,2.2,12.66,0.55,0
8.19,35.43,23.99,7.18,2961,3.38,18.88,3.93,1
7.73,32.52,33.54,7.27,4620,2.74,19.7,4.52,0
7.75,33.46,23.05,7.23,783,1.66,15.66,2.45,0
9.56,31.82,29.58,8.72,3428,1.47,20.39,2.91,0
12.87,39.08,31.53,8.14,4896,3.19,7.04,2.65,0
11.48,35.83,11.84,7.82,1591,4.61,7.19,2.25,0
9.37,34.01,11.36,6.93,1316,2.38,9.3,4.49,0
14.18,34.62,23.33,8.47,582,3.93,17.95,4.52,0
7.09,39.47,17.33,8.87,2420,3.63,10.35,2.01,0
9.38,31.53,30.2,8.46,3991,4.73,12.08,3.27,0
10.5,35.86,32.0,6.0,3644,4.28,15.01,4.67,0
11.84,35.06,15.6,7.91,2593,3.27,25.3,4.83,1
16.78,36.11,12.11,6.15,675,3.63,5.35,2.79,0
8.0,30.18,28.42,6.77,3204,4.59,21.23,2.54,0
12.71,38.72,13.24,6.18,869,2.6,21.72,1.75,0
13.89,39.32,29.68,7.81,2318,2.31,24.97,4.81,0
5.7,35.65,17.71,8.06,2601,1.04,28.32,1.14,1
14.11,36.97,25.03,6.34,3990,4.31,5.5,3.11,0
7.56,39.22,7.87,7.15,2279,4.2,8.84,1.77,1
